t,node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9,node_10,node_11
0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.164658070461,0.483244801881,0.169749093396,0.337461948089,0.169749093396,0.482455241432,0.493056566196,0.491281929803,0.1691193608,0.33746117807,0.164658962911,0.465103017095
0.5,0.508017005465,1.36872691828,0.576893000668,1.10123353199,0.576893000668,1.37237761729,1.48749124411,1.44693813613,0.549151411746,1.10113057356,0.508159712162,1.19695461185
0.75,0.745259788405,1.68871466455,1.01087991718,1.72146959053,1.01087991718,1.7348566976,2.06047370193,1.83628127524,0.842883532194,1.72089689084,0.746904868439,1.31288070166
1,0.702770533357,1.34730624916,1.26046371047,1.77443683821,1.26046371047,1.49542268639,2.01981436849,1.38465119326,0.885273293641,1.77752587815,0.708452443735,0.905163190026
1.25,0.655483454783,1.37054648703,1.16742038105,1.33726686907,1.16742038105,1.39083456836,2.02043917876,1.13383583748,0.794164695792,1.35704744502,0.667130390128,0.736224285473
1.5,0.6776689881,1.70060820087,0.764618242403,1.13745244934,0.764618242403,1.61865635049,2.02824114803,1.27164487489,0.707645353992,1.24802192136,0.67149293602,1.02318213465
1.75,0.61601117397,1.68268856085,0.773641048368,1.20163120324,0.773641048368,1.7090319736,1.84287539583,1.54230827802,0.616573979214,1.19955683896,0.576994974125,1.15603795208
2,0.64053906218,1.46453836666,1.01209406616,1.21971056867,1.01209406616,1.51852617553,1.59387418453,1.80270427063,0.532129605105,1.06088807436,0.468312155265,1.24594941833
2.25,0.555508850467,1.40105186153,0.861348493146,1.08787912955,0.861348493146,1.46159194417,1.33372001234,1.74036063001,0.540537254325,0.99751992178,0.485554726235,1.40114989325
2.5,0.492812839967,1.57770177835,1.02728253178,1.00714017769,1.02728253178,1.48012859987,1.84479892876,1.5901038505,0.561222914162,0.940499166918,0.377669480099,1.66613057326
2.75,0.350643772253,1.29548648868,1.16647972468,0.952481938059,1.16647972468,1.34987939914,2.13946329146,1.27573493837,0.391657878259,0.803808934342,0.327093300744,1.37957502751
3,0.330193322922,1.53849450672,0.895241125403,0.855399391487,0.895241125403,1.19801695811,2.36481835559,1.3262645875,0.366051627178,0.701902188443,0.348947751928,1.31484820828
