beta,alpha,dimension,avg_degree
0.0,1.0,0.004139303658651959,17.9
0.21052631578947367,1.0,0.1201404299107588,14.7
0.42105263157894735,1.0,0.44772247194003567,15.05
0.631578947368421,1.0,0.47519639886438225,16.65
0.8421052631578947,1.0,0.6411714243245594,15.25
1.0526315789473684,1.0,0.0009878323905702074,18.05
1.263157894736842,1.0,0.5978927683285292,14.25
1.4736842105263157,1.0,0.7946652013762923,17.05
1.6842105263157894,1.0,0.003857453465865005,19.1
1.894736842105263,1.0,0.43738385569664817,16.0
2.1052631578947367,1.0,1.2217249276127617,13.7
2.3157894736842106,1.0,1.185530545612742,13.2
2.526315789473684,1.0,1.5987038217500882,10.4
2.7368421052631575,1.0,2.013234744518126,6.35
2.9473684210526314,1.0,1.3279904553765898,13.2
3.1578947368421053,1.0,1.8187870143001947,5.0
3.3684210526315788,1.0,1.6646758737332774,3.0
3.578947368421052,1.0,1.667253598586881,3.85
3.789473684210526,1.0,1.30549305453465,1.95
4.0,1.0,1.9340122789614753,3.8
