beta,dim,deg
0.0,0.5869365864995313,16.8
0.25,0.02016362210864207,21.511111111111113
0.5,1.1790343587019927,16.57777777777778
0.75,0.8198429077737701,17.066666666666666
1.0,1.118701122133125,17.42222222222222
1.25,1.750626222186392,16.57777777777778
1.5,1.4555154852420398,16.22222222222222
1.75,1.7565047113575565,11.777777777777779
2.0,1.8279886879277316,13.955555555555556
2.25,1.8136756108308103,4.5777777777777775
2.5,2.097836731826866,6.533333333333333
2.75,1.7008055439149865,5.288888888888889
3.0,1.6800652148755157,4.844444444444444
3.25,1.3937927219371806,3.2888888888888888
3.5,1.515144883768572,5.511111111111111
3.75,1.369074040650506,1.9555555555555555
4.0,1.2131455747811712,2.6222222222222222
4.25,1.4023209650124349,3.066666666666667
4.5,1.4501535271940948,2.6222222222222222
4.75,1.3548457261060582,1.9555555555555555
5.0,1.2653128746422908,1.9555555555555555
5.25,1.2963508894364335,2.6222222222222222
5.5,1.1618894416400767,1.9555555555555555
5.75,1.2485661142303388,1.9555555555555555
6.0,1.1900611130646779,1.9555555555555555
